Name of Journal (complete)	Abbreviation	Text file name	Topic Area	Who added	IF	Notes
Proceedings of the National Academy of Sciences	PNAS	pnas.txt	General Science	Adina	9.809	
BMJ Open	BMJ Open	bmj.txt	Medical	Chris	2.063	
Ecology	Ecology	ecology1.txt	Ecology	Chris	5	
Ecological Applications	Ecol Appl	ecology2.txt	Ecology	Chris	4.126	
Ecological Monographs	Ecol Monograph	ecology3.txt	Ecology	Chris	7.107	
Global Biogeochemical Cycles	Global Biogeochem Cy	gbc.txt	Biogeochemistry	Chris	4.528	
Geochimica et Cosmochimica Acta	Geochim Cosmochim Acta	gca1.txt	Geochemistry	Chris	4.25	
Organic Geochemistry	Org Geochem	gca2.txt	Geochemistry	Chris	2.828	
Global Health: Science and Practice	Global Health: Science and Practice	globalhealth.txt	Medical	Chris	NA	
Hypertension	Hypertension	hyper.txt	Medical	Chris	7.632	
Journal of Environmental Quality	J Environ Qual	jenvironqual.txt	Environmental Science	Chris	2.345	
Science	Science	science.txt	General Science	Chris	31.48	pulled instruction for research articles
american journal of pharmaceutical education	AJPE	ajpe.txt	Pharmacy	Clay	1.188	
American Journal of Preventive Medicine	AJPM	ajpm.txt	Medicine	Clay	4.281	
Cancer Biology & Medicine	CBM	cbm.txt	Chinese Anti-Cancer Association	Clay	NA	
Hydrology and Earth System Sciences	HESS	hess.txt	"hydology, aquatic ecology"	Clay	3.642	
"Air, Soil and Water Research"	Libertas journals	libertas.txt	Environmental Science	Clay	1.685	Instructions the same for all journals from this publisher
Journal of Neurology and Experimental Neuroscience	USG	usg.txt	Neurology	Clay	NA	Instructions for all United Scientific Group
BMC Anesthesiology	BMC Anesthesiology	bmc.txt	Anesthesiology	Davide	1.33	
BMC Biochemistry	BMC Biochemistry	bmc1.txt	Biochemistry	Davide	1.94	
BMC Complementary and Alternative Medicine	BMC Complementary and Alternative Medicine	bmc10.txt	Complementary and Alternative Medicine	Davide	1.88	
BMC Dermatology	BMC Dermatology	bmc11.txt	Dermatology	Davide	NA	
BMC Developmental Biology	BMC Developmental Biology	bmc12.txt	Developmental Biology	Davide	2.75	
"BMC Ear, Nose and Throat Disorders"	"BMC Ear, Nose and Throat Disorders"	bmc13.txt	"Ear, Nose and Throat Disorders"	Davide	NA	
BMC Ecology	BMC Ecology	bmc14.txt	Ecology	Davide	NA	
BMC Emergency Medicine	BMC Emergency Medicine	bmc15.txt	Emergency Medicine	Davide	NA	
BMC Endocrine Disorders	BMC Endocrine Disorders	bmc16.txt	Endocrine Disorders	Davide	1.67	
BMC Evolutionary Biology	BMC Evolutionary Biology	bmc17.txt	Evolutionary Biology	Davide	3.41	
BMC Family Practice	BMC Family Practice	bmc18.txt	Family Practice	Davide	1.74	
BMC Gastroenterology	BMC Gastroenterology	bmc19.txt	Gastroenterology	Davide	2.11	
BMC Bioinformatics	BMC Bioinformatics	bmc2.txt	Bioinformatics	Davide	2.67	
BMC Genetics	BMC Genetics	bmc20.txt	Genetics	Davide	2.36	
BMC Genomics	BMC Genomics	bmc21.txt	Genomics	Davide	4.04	
BMC Geriatrics	BMC Geriatrics	bmc22.txt	Geriatrics	Davide	2	
BMC Health Services Research	BMC Health Services Research	bmc23.txt	Health Services Research	Davide	1.66	
BMC Hematology	BMC Hematology	bmc24.txt	Hematology	Davide	NA	
BMC Immunology	BMC Immunology	bmc25.txt	Immunology	Davide	2.25	
BMC Infectious Diseases	BMC Infectious Diseases	bmc26.txt	Infectious Diseases	Davide	2.56	
